objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
172,6.8453,3.1387,0.0328,0.0411,1171.7415,532.7955,2.1992,661.8198,328.3837,,L7_016,L7
509,32.9539,17.6177,0.0328,0.0411,16756.8405,8946.4997,1.873,868.112,1056.4086,,L7_016,L7
323,28.552,14.0701,0.0262,0.0402,9213.8343,4531.6489,2.0332,71.1115,787.3344,,L6_017,L6
343,27.5045,13.2396,0.0262,0.0402,9425.0662,4527.3956,2.0818,113.4723,854.0612,,L6_017,L6
251,19.1552,10.2566,0.0262,0.0402,4801.3938,2564.3113,1.8724,450.0279,1250.8884,,L6_017,L6
175,33.9656,13.9917,0.0262,0.0402,5939.4057,2441.51,2.4327,692.8971,582.3543,,L6_017,L6
493,51.1108,21.7821,0.0262,0.0402,25184.7202,10718.734,2.3496,1851.6349,232.5862,,L6_017,L6
139,2.7599,2.0305,0.0335,0.0446,378.9699,276.0368,1.3729,58.6187,1666.4676,,L6_018,L6
558,26.1977,15.5918,0.0335,0.0446,14599.6404,8675.3227,1.6829,769.1254,1464.2294,,L6_018,L6
589,20.7835,11.659,0.0335,0.0446,12221.7371,6840.8564,1.7866,833.5603,1252.5823,,L6_018,L6
509,29.6816,17.5952,0.0301,0.0413,15092.619,8934.9535,1.6892,1004.1984,1257.0098,,L6_019,L6
416,48.0583,31.6923,0.0301,0.0413,19979.7218,13166.8325,1.5174,1200.6106,1477.0361,,L6_019,L6
386,43.5641,25.1584,0.0301,0.0413,16804.1227,9695.2366,1.7332,1390.4171,1325.6658,,L6_019,L6
285,21.1714,9.9099,0.0301,0.0413,6025.2681,2812.5723,2.1423,1745.9719,553.4982,,L6_019,L6
400,9.9171,5.5169,0.0451,0.0478,3948.7664,2187.6524,1.805,582.7225,1031.745,,L6_020,L6
463,13.3535,7.4904,0.0451,0.0478,6161.7487,3445.9519,1.7881,1099.2311,1398.2592,,L6_020,L6
559,39.9923,16.3338,0.0451,0.0478,22330.4557,9103.9179,2.4528,1787.1556,221.7979,,L6_020,L6
