objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
419,370.715,267.0107,0.3222,0.3209,155194.5519,111742.9942,1.3889,330.9212,1647.1337,,L5_326,L5
163,140.0857,95.1124,0.3222,0.3209,22781.4393,15451.0018,1.4744,396.9448,1634.6748,,L5_326,L5
94,140.4631,95.251,0.3222,0.3209,13173.243,8923.428,1.4763,716.5,1983.5,,L5_326,L5
125,136.1647,94.8039,0.3222,0.3209,16980.3127,11810.371,1.4377,727.88,1995.68,,L5_326,L5
92,186.9707,84.4837,0.3222,0.3209,17171.6571,7742.9723,2.2177,788.5,455,,L5_326,L5
404,290.698,140.9862,0.3222,0.3209,117311.8176,56828.7573,2.0643,1128.9455,156.3738,,L5_326,L5
158,252.7265,160.4961,0.3222,0.3209,39879.8722,25307.681,1.5758,1590,1059.5,,L5_326,L5
379,364.8777,209.2612,0.3337,0.343,138162.1569,79179.9965,1.7449,382.1055,999.2929,,L5_325,L5
81,211.7998,106.7909,0.3337,0.343,17128.7556,8622.2823,1.9866,643,726,,L5_325,L5
131,178.9811,114.5558,0.3337,0.343,23402.8003,14961.8718,1.5642,678.5496,891.0076,,L5_325,L5
364,356.2535,210.6519,0.3337,0.343,129554.8019,76552.4195,1.6924,922.8407,577.467,,L5_325,L5
258,276.5833,131.1445,0.3337,0.343,71272.3893,33746.7833,2.112,1174,238.5,,L5_325,L5
129,177.2488,114.1448,0.3337,0.343,22822.0426,14680.4253,1.5546,1510.0853,1580.0155,,L5_325,L5
200,276.4739,160.5791,0.3315,0.3152,55228.4656,32052.7754,1.723,436.5,1210.5,,L5_324,L5
319,339.0089,201.6428,0.3315,0.3152,108038.0984,64223.5226,1.6822,982.185,1090.6928,,L5_324,L5
438,554.8292,292.0145,0.3315,0.3152,242869.9753,127764.2848,1.9009,1162.0959,416.6621,,L5_324,L5
439,568.9775,347.8329,0.3315,0.3152,249635.6002,152560.2913,1.6363,1470.0888,859.5672,,L5_324,L5
222,281.4475,176.8432,0.3315,0.3152,62407.7538,39189.2208,1.5925,1736.973,1006.0225,,L5_324,L5
92,283.7827,167.5728,0.3303,0.3316,26077.6194,15386.1932,1.6949,249.5,1124,,L5_323,L5
131,290.4261,129.5454,0.3303,0.3316,38002.5409,16927.018,2.2451,1049.5115,149.0458,,L5_323,L5
346,307.9579,151.5747,0.3303,0.3316,106439.1415,52330.1258,2.034,1092.3208,408.8382,,L5_323,L5
329,361.9301,238.5569,0.3303,0.3316,118966.3213,78376.118,1.5179,1114.3678,1402.4924,,L5_323,L5
381,422.2967,248.3416,0.3303,0.3316,160769.1871,94491.8196,1.7014,1354.1916,843.622,,L5_323,L5
406,439.9221,276.439,0.3303,0.3316,178474.2472,112099.6313,1.5921,1462.4138,1194.3596,,L5_323,L5
103,194.4715,110.0764,1.2046,0.7697,19906.4808,11258.5979,1.7681,13,1083,,L5_322,L5
259,228.3937,132.4032,1.2046,0.7697,58841.9597,34093.0982,1.7259,525.695,1089.2471,,L5_322,L5
191,213.1767,134.5882,1.2046,0.7697,40486.658,25559.3323,1.584,815.0105,1445.534,,L5_322,L5
241,314.6409,152.5628,1.2046,0.7697,75538.1378,36582.1527,2.0649,1090.8631,477.8423,,L5_322,L5
289,335.5127,172.8312,1.2046,0.7697,96615.0175,49725.7772,1.943,1309.4844,629.4498,,L5_322,L5
507,370.99,187.3177,1.2046,0.7697,187481.1943,94579.8693,1.9823,1751.9487,313.0927,,L5_322,L5
230,225.3746,143.9387,1.2046,0.7697,51559.0786,32928.8828,1.5658,1905.5217,1663.7957,,L5_322,L5
370,200.6865,129.9248,0.3878,0.3798,74110.4939,47931.6634,1.5462,537.2946,1567.5676,,L5_321,L5
388,394.9764,245.9074,0.3878,0.3798,153100.3557,95264.693,1.6071,544.3454,982.1778,,L5_321,L5
237,201.4983,125.5562,0.3878,0.3798,47663.1858,29666.7999,1.6066,700.827,1320.8439,,L5_321,L5
313,288.8538,135.2965,0.3878,0.3798,90289.8388,42228.9097,2.1381,1265.5208,351.0192,,L5_321,L5
